id,tk_chunk_id,contract_clause,tk_evidence,label
E001,art:58:part:1:sub:1,Трудовой договор с работником заключается на неопределенный срок.,Трудовые договоры могут заключаться: 1) на неопределенный срок;,entailment
E002,art:58:part:1:sub:2,Срочный трудовой договор заключается на срок пять лет.,"Трудовые договоры могут заключаться: 2) на определенный срок не более пяти лет (срочный трудовой договор), если иной срок не установлен настоящим Кодексом и иными федеральными законами.",entailment
E003,art:58:part:3:sub:0,"Если в договоре не указан срок его действия, договор считается заключенным на неопределенный срок.","Если в трудовом договоре не оговорен срок его действия, то договор считается заключенным на неопределенный срок.",entailment
E004,art:59:part:1:sub:1,"Работник принимается по срочному договору на время исполнения обязанностей отсутствующего сотрудника, за которым сохраняется место работы.","Срочный трудовой договор заключается: на время исполнения обязанностей отсутствующего работника, за которым в соответствии с трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашениями, локальными нормативными актами, трудовым договором сохраняется место работы;",entailment
E005,art:59:part:1:sub:2,Договор заключается на 45 календарных дней для выполнения временных работ.,Срочный трудовой договор заключается: на время выполнения временных (до двух месяцев) работ;,entailment
E006,art:59:part:1:sub:3,"Работник принимается на сезонные полевые работы, которые выполняются только в летний сезон.","Срочный трудовой договор заключается: для выполнения сезонных работ, когда в силу природных условий работа может производиться только в течение определенного периода (сезона);",entailment
E007,art:59:part:2:sub:10,"По соглашению сторон с работником, принимаемым по совместительству, заключается срочный трудовой договор.","По соглашению сторон срочный трудовой договор может заключаться: с лицами, поступающими на работу по совместительству;",entailment
E008,art:70:part:5:sub:0,Работнику на должности аналитика устанавливается испытательный срок три месяца.,"Срок испытания не может превышать трех месяцев, а для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей, руководителей филиалов, представительств или иных обособленных структурных подразделений организаций - шести месяцев, если иное не установлено федеральным законом.",entailment
E009,art:70:part:5:sub:0,Главному бухгалтеру устанавливается испытательный срок шесть месяцев.,"Срок испытания не может превышать трех месяцев, а для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей, руководителей филиалов, представительств или иных обособленных структурных подразделений организаций - шести месяцев, если иное не установлено федеральным законом.",entailment
E010,art:70:part:6:sub:0,При срочном договоре на четыре месяца испытательный срок составляет две недели.,При заключении трудового договора на срок от двух до шести месяцев испытание не может превышать двух недель.,entailment
E011,art:70:part:3:sub:0,На работника в период испытания распространяются все нормы трудового законодательства и локальные акты работодателя.,"В период испытания на работника распространяются положения трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, коллективного договора, соглашений, локальных нормативных актов.",entailment
E012,art:80:part:1:sub:0,"Работник вправе расторгнуть договор по собственному желанию, письменно предупредив работодателя за две недели.","Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в письменной форме не позднее чем за две недели, если иной срок не установлен настоящим Кодексом или иным федеральным законом. Течение указанного срока начинается на следующий день после получения работодателем заявления работника об увольнении.",entailment
E013,art:91:part:2:sub:0,Нормальная продолжительность рабочего времени работника составляет 40 часов в неделю.,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,entailment
E014,art:92:part:1:sub:2,Для работника 17 лет устанавливается сокращенная продолжительность рабочего времени 35 часов в неделю.,Сокращенная продолжительность рабочего времени устанавливается: для работников в возрасте от шестнадцати до восемнадцати лет - не более 35 часов в неделю;,entailment
E015,art:93:part:2:sub:0,При неполной рабочей неделе оплата производится пропорционально фактически отработанному времени.,При работе на условиях неполного рабочего времени оплата труда работника производится пропорционально отработанному им времени или в зависимости от выполненного им объема работ.,entailment
E016,art:94:part:1:sub:1,"Работник 15 лет, работающий в период каникул, работает не более 5 часов за смену.","Продолжительность ежедневной работы (смены) не может превышать: для работников (включая лиц, получающих общее образование или среднее профессиональное образование и работающих в период каникул) в возрасте от четырнадцати до пятнадцати лет - 4 часа, в возрасте от пятнадцати до шестнадцати лет - 5 часов, в возрасте от шестнадцати до восемнадцати лет - 7 часов;",entailment
E017,art:95:part:1:sub:0,"Рабочий день, непосредственно предшествующий нерабочему праздничному дню, сокращается на один час.","Продолжительность рабочего дня или смены, непосредственно предшествующих нерабочему праздничному дню, уменьшается на один час.",entailment
E018,art:108:part:1:sub:0,"В течение смены работнику предоставляется перерыв для отдыха и питания 45 минут, который не включается в рабочее время.","В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не включается. Правилами внутреннего трудового распорядка или трудовым договором может быть предусмотрено, что указанный перерыв может не предоставляться работнику, если установленная для него продолжительность ежедневной работы (смены) не превышает четырех часов.",entailment
E019,art:110:part:1:sub:0,Еженедельный непрерывный отдых работника составляет не менее 42 часов.,"Продолжительность еженедельного непрерывного отдыха не может быть менее 42 часов, за исключением случаев, предусмотренных настоящим Кодексом.",entailment
E020,art:115:part:1:sub:0,Работнику предоставляется ежегодный основной оплачиваемый отпуск продолжительностью 28 календарных дней.,Ежегодный основной оплачиваемый отпуск предоставляется работникам продолжительностью 28 календарных дней.,entailment
E021,art:117:part:2:sub:0,За работу во вредных условиях труда работнику предоставляется ежегодный дополнительный оплачиваемый отпуск 7 календарных дней.,"Минимальная продолжительность ежегодного дополнительного оплачиваемого отпуска работникам, указанным в части первой настоящей статьи, составляет 7 календарных дней.",entailment
E022,art:119:part:1:sub:0,Работнику с ненормированным рабочим днем предоставляется ежегодный дополнительный оплачиваемый отпуск 3 календарных дня.,"Работникам с ненормированным рабочим днем предоставляется ежегодный дополнительный оплачиваемый отпуск, продолжительность которого определяется коллективным договором или правилами внутреннего трудового распорядка и который не может быть менее трех календарных дней.",entailment
E023,art:122:part:2:sub:0,Право на использование отпуска за первый год работы возникает у работника по истечении шести месяцев непрерывной работы у работодателя.,Право на использование отпуска за первый год работы возникает у работника по истечении шести месяцев его непрерывной работы у данного работодателя. По соглашению сторон оплачиваемый отпуск работнику может быть предоставлен и до истечения шести месяцев.,entailment
E024,art:125:part:1:sub:0,По соглашению сторон ежегодный отпуск делится на две части по 14 календарных дней каждая.,По соглашению между работником и работодателем ежегодный оплачиваемый отпуск может быть разделен на части. При этом хотя бы одна из частей этого отпуска должна быть не менее 14 календарных дней.,entailment
E025,art:126:part:1:sub:0,По письменному заявлению работника из ежегодного отпуска 33 календарных дня денежной компенсацией может быть заменена часть отпуска сверх 28 календарных дней.,"Часть ежегодного оплачиваемого отпуска, превышающая 28 календарных дней, по письменному заявлению работника может быть заменена денежной компенсацией, если иное не предусмотрено настоящим Кодексом.",entailment
